,,AAPL,AMZN,META,NVDA,TSLA
n_night_full,25%,380.0,193.75,73.75,54.75,660.25
n_night_full,50%,516.0,238.0,95.0,91.0,1039.0
n_night_full,75%,762.0,312.25,141.5,180.0,1699.75
n_night_full,max,6898.0,9633.0,12337.0,5546.0,16722.0
nlog_night_full,count,548.0,548.0,548.0,548.0,548.0
nlog_night_full,mean,6.337220727715547,5.545421342063631,4.762030628191465,4.631973629780549,6.988105922970909
nlog_night_full,std,0.6189361263041053,0.4931895220779816,0.7553591361686455,0.8998092060278641,0.8665159566000404
nlog_night_full,min,3.4339872044851463,4.61512051684126,3.5263605246161616,0.0,0.0
nlog_night_full,25%,5.942799375126701,5.271714208688643,4.314132358453275,4.02084706435948,6.4941300505783826
nlog_night_full,50%,6.248035391914812,5.476463551931511,4.564348191467836,4.5217885770490405,6.946975529857099
nlog_night_full,75%,6.637255459200133,5.747000639382178,4.959323618094945,5.198497031265826,7.438823023266855
nlog_night_full,max,8.839131752546109,9.173053787190169,9.420439209769585,8.621012520055235,9.724540296381123
nabn_night_full,count,548.0,548.0,548.0,548.0,548.0
nabn_night_full,mean,0.09875351659124314,0.09873488259645632,0.11627320606321714,0.08200948768955584,0.09341605960999587
nabn_night_full,std,0.893898173121409,0.789901099972639,0.8390933685333644,0.8692547644526804,1.1202345244615854
nabn_night_full,min,-2.2259461174908624,-1.228449212434449,-1.3185281042357078,-5.702788719381267,-6.695423587169247
nabn_night_full,25%,-0.33813808796136796,-0.2968151653037725,-0.3476164996294659,-0.3563316222951074,-0.4490280664806514
nabn_night_full,50%,-0.08086554061775869,-0.0321499846336439,-0.0722242461979596,-0.08021778436894594,-0.0854090170597663
nabn_night_full,75%,0.2546180798493456,0.20835294322624276,0.2937844004266015,0.3776727724040245,0.41532833966610405
nabn_night_full,max,6.847900236348798,5.671636378429168,4.644934417359145,3.3989584239654875,6.5943232159517375
mu_pre,count,548.0,548.0,548.0,546.0,544.0
mu_pre,mean,0.09859158344580994,0.1243424652782813,0.1271705636795785,0.16947693602777003,0.044142664634229445
mu_pre,std,0.05712016383879912,0.06772389614015076,0.10270849244683262,0.11681466959669319,0.040316329381227346
mu_pre,min,-0.0757774768290926,-0.0517446059447436,-0.2105109778739575,-0.499894462309,-0.098934498929854
mu_pre,25%,0.06798875061763097,0.07554821933364438,0.059956782271638295,0.0940312987566009,0.018000492414847025
mu_pre,50%,0.10324520748369195,0.12094913874435625,0.12367202443109025,0.16256882323763322,0.0459369196986619
mu_pre,75%,0.13359139180413854,0.17225623436695714,0.18480497630241055,0.24843920095722238,0.07116133573052587
mu_pre,max,0.2803586986501257,0.3365181502811359,0.5410475375480811,0.5083750900407346,0.1838137162490778
sd_pre,count,548.0,548.0,548.0,546.0,544.0
sd_pre,mean,0.4598599142451428,0.4497619915942705,0.4588527789034734,0.47655137854282764,0.38352310163554376
sd_pre,std,0.04156097623486528,0.05524077179686884,0.0749989626638754,0.08607483037659293,0.03791595846143423
sd_pre,min,0.2909592169584461,0.2632691648688187,0.2368699725678781,0.0060534780904288,0.2886428751353049
sd_pre,25%,0.4318620855745973,0.4126648353950648,0.4121110731779346,0.42518286981074793,0.35707521487369304
sd_pre,50%,0.4591267459936281,0.4522217715339447,0.45355001770971226,0.47312445171774475,0.3802732018269954
sd_pre,75%,0.48464491600473625,0.4886473106428829,0.5047674588400493,0.521579469794824,0.4062250204748752
sd_pre,max,0.5849320889829075,0.6150160884310282,0.752723656483435,0.7540845752881536,0.5173547951322918
n_pre,count,548.0,548.0,548.0,546.0,544.0
n_pre,mean,259.38321167883214,115.07664233576642,65.89416058394161,63.31318681318681,631.3327205882352
n_pre,std,186.26331112291183,106.43823711414477,155.01270727715456,96.79742817357416,572.6121735064959
n_pre,min,13.0,35.0,6.0,2.0,117.0
n_pre,25%,144.75,75.0,26.0,19.0,285.75
n_pre,50%,207.5,98.0,36.0,35.0,460.0
n_pre,75%,300.0,123.25,56.0,70.75,768.25
n_pre,max,1391.0,1799.0,2949.0,1158.0,4995.0
mu_open30,count,547.0,548.0,548.0,540.0,544.0
mu_open30,mean,0.08399779628460557,0.07092101943656057,0.08809262650858604,0.11699578170780453,0.03472313401690482
mu_open30,std,0.08534097871298582,0.09147317363183159,0.1474944032693603,0.16979492564844434,0.04175904976723746
mu_open30,min,-0.993832672,-0.3894178254713057,-0.979476619938,-0.402121232685,-0.1259464618112805
mu_open30,25%,0.04015324542985565,0.017714489240242152,0.0016651996406824249,0.01685181994403685,0.00935690640254315
mu_open30,50%,0.0829855902693247,0.06783479759808886,0.0747067858628242,0.10339059933503955,0.03356567030949305
mu_open30,75%,0.12687120129218238,0.12403988201992262,0.16031367787539363,0.1885436330086929,0.059751275528064925
mu_open30,max,0.4236879111050875,0.6665435474829934,0.6650860314558816,0.99999523596013,0.2031302042069993
sd_open30,count,546.0,548.0,547.0,530.0,544.0
sd_open30,mean,0.42951492875675434,0.41243229612156085,0.3828853148601777,0.41358813393596777,0.3445115345363668
sd_open30,std,0.0622633687190593,0.08285826085801766,0.1593420213632532,0.16372247363263212,0.04540208859236771
sd_open30,min,0.0038979864991168,0.0400688982636448,2.669541389053265e-05,2.279036537163192e-05,0.2425417478107681
