Date,Ticker,FinBERT_Positive,FinBERT_Negative,FinBERT_Neutral,Volume_Messages,Score_Net,Bullishness_Index,Polarite_Index
2026-04-01,GOOGL,0.0014,0.0003,0.9983,1,0.0011,0.8263,0.0017
2026-04-01,JPM,0.5962,0.0497,0.3541,4,0.5466,0.9231,0.6459
2026-04-01,MSFT,0.0839,0.0003,0.9159,3,0.0836,0.997,0.0841
2026-04-01,TSLA,0.369,0.0211,0.61,2,0.3479,0.946,0.39
2026-04-01,UNH,0.5,0.0,0.5,2,0.5,1.0,0.5
2026-04-02,BRK-B,0.2514,0.0001,0.7486,4,0.2513,0.9998,0.2514
2026-04-02,UNH,0.5,0.0,0.5,2,0.5,1.0,0.5
2026-04-03,BRK-B,0.3396,0.0,0.6604,3,0.3396,0.9999,0.3396
2026-04-03,UNH,0.0029,0.5055,0.4916,2,-0.5026,0.0057,0.5084
2026-04-04,BRK-B,0.1281,0.4988,0.3731,4,-0.3708,0.2043,0.6269
2026-04-04,JPM,0.0033,0.1293,0.8674,1,-0.126,0.0246,0.1326
2026-04-04,UNH,0.9996,0.0,0.0004,1,0.9996,1.0,0.9996
2026-04-05,BRK-B,0.5,0.0001,0.5,4,0.4999,0.9999,0.5
2026-04-05,UNH,0.9873,0.0016,0.0111,1,0.9857,0.9984,0.9889
2026-04-06,BRK-B,0.0638,0.4551,0.481,3,-0.3913,0.123,0.519
2026-04-06,JPM,0.0018,0.9943,0.0039,1,-0.9924,0.0019,0.9961
2026-04-06,MSFT,0.0027,0.2272,0.7701,1,-0.2245,0.0118,0.2299
2026-04-06,TSLA,0.0006,0.9643,0.0351,1,-0.9636,0.0007,0.9649
2026-04-06,UNH,0.5,0.4999,0.0001,2,0.0,0.5,0.9999
2026-04-07,BRK-B,0.3399,0.0109,0.6492,3,0.329,0.969,0.3508
2026-04-07,JPM,0.5,0.4986,0.0014,2,0.0014,0.5007,0.9986
2026-04-07,UNH,0.361,0.3315,0.3075,3,0.0295,0.5213,0.6925
2026-04-08,BRK-B,1.0,0.0,0.0,1,1.0,1.0,1.0
2026-04-08,JPM,0.9992,0.0,0.0008,1,0.9992,1.0,0.9992
2026-04-08,UNH,1.0,0.0,0.0,1,1.0,1.0,1.0
2026-04-09,AAPL,0.0042,0.0008,0.995,1,0.0035,0.8448,0.005
2026-04-09,BRK-B,0.4884,0.0002,0.5114,4,0.4882,0.9996,0.4886
2026-04-09,JPM,0.7225,0.0018,0.2757,5,0.7207,0.9976,0.7243
2026-04-09,UNH,0.0,0.0001,0.9999,2,-0.0,0.3452,0.0001
2026-04-10,AAPL,0.0,0.0001,0.9999,1,-0.0001,0.0474,0.0001
2026-04-10,BRK-B,0.5,0.0,0.5,2,0.5,1.0,0.5
2026-04-10,GOOGL,0.5214,0.0039,0.4748,5,0.5175,0.9927,0.5252
2026-04-10,JPM,0.5,0.0,0.5,2,0.5,1.0,0.5
2026-04-10,META,0.7289,0.2652,0.0059,1,0.4637,0.7332,0.9941
2026-04-11,AAPL,0.9999,0.0,0.0001,1,0.9999,1.0,0.9999
2026-04-11,BRK-B,0.5,0.0,0.5,4,0.5,1.0,0.5
2026-04-11,GOOGL,0.9971,0.0,0.0029,2,0.997,1.0,0.9971
2026-04-12,BRK-B,0.0034,0.0193,0.9772,2,-0.0159,0.1499,0.0228
2026-04-12,GOOGL,1.0,0.0,0.0,1,1.0,1.0,1.0
2026-04-12,JPM,0.0027,0.0,0.9973,1,0.0026,0.9883,0.0027
2026-04-12,UNH,0.0,0.009,0.991,1,-0.009,0.0042,0.009
2026-04-13,BRK-B,0.2005,0.0023,0.7972,4,0.1982,0.9885,0.2028
2026-04-13,GOOGL,0.9944,0.0003,0.0053,1,0.9941,0.9997,0.9947
2026-04-13,JPM,0.6838,0.0872,0.2291,5,0.5966,0.8869,0.7709
2026-04-13,UNH,0.3283,0.0015,0.6702,3,0.3268,0.9956,0.3298
2026-04-14,AAPL,0.5,0.0001,0.4998,2,0.4999,0.9998,0.5002
2026-04-14,BRK-B,0.0,0.0,1.0,3,-0.0,0.0135,0.0
2026-04-14,GOOGL,0.6018,0.0003,0.3979,5,0.6014,0.9995,0.6021
2026-04-14,JPM,0.429,0.1396,0.4314,7,0.2893,0.7544,0.5686
2026-04-14,TSLA,0.1301,0.8612,0.0087,1,-0.7311,0.1312,0.9913
2026-04-14,UNH,1.0,0.0,0.0,2,1.0,1.0,1.0
2026-04-15,AAPL,0.4584,0.2008,0.3409,5,0.2576,0.6954,0.6591
2026-04-15,BRK-B,0.0079,0.0016,0.9905,2,0.0063,0.834,0.0095
2026-04-15,JPM,0.3334,0.0001,0.6665,3,0.3333,0.9997,0.3335
